id,created_time,title
904293875,2020-02-17 13:05,哈哈 ， 好 热闹 。 。 。 坐等 回调 再 拉升
904291591,2020-02-17 13:04,东财 研究 中心 ： A股 三大 股指 集体 上涨 ： 创业板 指涨 逾 3%   航天航空 板块 领涨
904192632,2020-02-17 12:56,开盘价 卖出 ， 盘中 会 有 低点 。
904291317,2020-02-17 12:55,A股 三大 股指 集体 上涨 ： 创业板 指涨 逾 3%   航天航空 板块 领涨
904289287,2020-02-17 12:38,休息 一天 ， 给 没 上车 一些 机会 [ 鼓掌 ]
904299734,2020-02-17 12:38,良心 股非 万 科莫 属
904283218,2020-02-17 12:02,明日 复明 日
904277757,2020-02-17 11:48,挂个 三十 的 单 ！ 看能 不能 买进 ！ [ 傲 ]
904275685,2020-02-17 11:46,自己 分析 一下 万科 和 华发 股份 ， 仔细 比较 一下 ！
904275485,2020-02-17 11:45,你 是 什么 意思 ？ ？ ？
904275874,2020-02-17 11:44,倒车 ， 跌回 38
904275070,2020-02-17 11:44,你娘 的
904272068,2020-02-17 11:38,在线 丢人
904277405,2020-02-17 11:34,姚老板 又 出货 了 ？ 坐等 公告 [ 毛估估 ]
904259863,2020-02-17 11:14,我 靠 ， 地产 板块 就 你 弱 啊
904257017,2020-02-17 11:06,我 又 回来 了 ！ 上 个 星期五 跑 的 ！
904253860,2020-02-17 11:02,主要 是 上周 涨得 太多 了
903684379,2020-02-17 17:33,中国 基金 报 ： 25 家 上市 券商 1 月 业绩 出炉   ！ 这家 同比 暴增 183%
904426670,2020-02-17 18:27,明天 不 补涨 我 就要 清仓 了 。
904421368,2020-02-17 17:46,外资 逃跑 5 亿 ， 卧槽 真牛 逼 ！ ！ ！
904417436,2020-02-17 17:46,欸 ！ 这么 好 的 行情 才 赚 了 200 块钱
904419760,2020-02-17 17:34,越跌 越 买光 物业 够吃 100 年 的
898425176,2020-02-17 17:34,银 保监会 ： 坚决 落实 “ 房住 不 炒 ” 要求   持续 遏制 房地产 金融 化 泡沫化
904419362,2020-02-17 17:32,当 你 买 什么 股票 都 不再 抱怨 或者 骂 庄骂 主力 机构 的 时候 ， 你 就是 股市 赢家 了 。 [ 大笑 ] [ 大
904418357,2020-02-17 17:29,有 七五折 的 七五折 一次 七五折 两次 还有 没有 比 七五折 更 低 的 了 [ 胜利 ]
904234643,2020-02-17 14:53,两个 畜牲 庄
904252146,2020-02-17 13:02,恒大 亏本 赚 吆喝
904437009,2020-02-17 19:42,三年 买房 的 全 套牢 、 跳空 30% 低开 、 房价 开启 下降 通道 、 结束 30 暴涨
904232386,2020-02-17 19:11,国家统计局 ： 坚持 房子 是 用来 住 的 、 不是 用来 炒 的 定位
904431036,2020-02-17 19:08,房价 开启 降价 模式 恒大 7.5 折 房子 大 甩卖 ？ 疫情 下 地产 销售 告急 ！ 房价 会降 吗 ？ 新浪 财经
904429951,2020-02-17 19:07,房地产 行情 就 这么 结束 了 ？
904429046,2020-02-17 19:04,看 300443 金雷 股份   要大涨
904429404,2020-02-17 18:59,住 建部 官网 文章 ： 一场 疫情 ， 让 大家 看到 了 在 突发 情况 时 物业 的 重要性 ， 也许 在 未来 ， 会 有
898522475,2020-02-17 17:34,引爆 新 题材   央视 8K 版 春晚 够 炫 ！ 券商 称 相关 产业 市场 达 4 万亿   多只 股票 率先 涨停   来
894553827,2020-02-17 17:34,[ 全民 竞猜 ]   A股 减持 规模 已达 去年 2 倍   谁 是 A股 “ 套现 王 ” ？
904439509,2020-02-17 20:04,转发
